No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
192,BKR,28.56B,86.30,15.94,1.70,1.39,1.62,6.73,123.11,98.20%,54.32%,46.90%,50.90%,15.80%,25.88,-8.31%,"15,786,797"
193,BLDR,11.12B,5.81,7.37,0.31,0.52,2.25,39.45,5.90,218.90%,-27.35%,46.20%,18.80%,25.60%,65.81,0.67%,"655,109"
194,BLTS,284.06M,-,-,-,-,1.37,-,-,-,-,-,-,-,9.87,0.00%,324
195,BLU,1.00B,-,-,-,62723.53,3.58,4.29,-,-66.90%,-39.20%,-46.50%,-,-,9.49,0.90%,"323,789"
196,BMO,64.64B,6.94,6.64,0.95,4.11,1.33,0.28,-,53.30%,7.26%,10.80%,7.30%,6.70%,96.58,0.31%,"170,561"
197,BMRC,515.93M,14.32,11.07,1.43,4.49,1.25,3.02,17.49,3.70%,6.73%,4.00%,10.00%,7.50%,32.88,-0.96%,"9,382"
198,BMRN,15.86B,559.03,37.61,-,8.44,3.61,15.01,339.59,331.40%,186.12%,37.20%,-,10.60%,84.90,-1.38%,"238,049"
199,BMY,152.34B,25.97,9.07,5.80,3.24,4.97,10.18,14.28,178.00%,7.50%,3.30%,4.47%,19.00%,72.96,-0.25%,"5,516,818"
200,BNO,-,-,-,-,-,-,-,-,-,-,-,-,-,32.10,-0.16%,"105,226"
201,BOAC,753.29M,8.95,-,-,-,0.53,627.74,-,225.00%,-,-,-,-,9.94,0.10%,339
202,BOAS,282.33M,28.68,-,-,-,1.29,1411.66,-,-,-,-,-,-,9.81,0.00%,"1,923"
203,BOIL,-,-,-,-,-,-,-,-,-,-,-,-,-,70.25,3.38%,"1,084,101"
204,BORR,385.81M,-,-,-,1.57,0.41,-,-,-,-,-,-,-,2.78,-1.42%,"775,681"
205,BOWL,1.95B,-,20.89,-,2.43,-,11.26,61.06,-35.20%,200.00%,-,-,-,11.45,-0.82%,"182,907"
206,BOX,3.89B,-,19.05,-,4.27,-,7.48,15.95,-24.20%,25.77%,21.90%,8.00%,17.00%,27.87,1.98%,"362,446"
207,BP,87.00B,-,4.75,-,0.50,1.44,2.52,7.95,137.20%,-12.22%,128.10%,-4.00%,-2.90%,28.07,0.04%,"5,052,417"
208,BPOP,5.92B,7.23,6.93,1.45,2.78,1.34,0.55,7.41,95.20%,2.80%,41.10%,5.00%,5.40%,79.17,-0.66%,"92,284"
209,BPT,364.42M,18.44,-,-,16.42,67.38,60.74,59.74,-3.90%,-,-29.10%,-,-26.80%,17.28,-1.37%,"392,588"
210,BRDG,1.68B,3.36,12.73,-,2.19,4.34,10.47,7.41,68.70%,16.50%,-,-,-,15.50,1.51%,"21,097"
211,BREZ,150.54M,27.44,-,-,-,1.35,-,-,442.80%,-,-,-,-,10.28,-0.05%,"17,570"
212,BRG,777.16M,-,-,-,3.41,374.57,3.14,21.06,103.90%,45.00%,15.80%,10.00%,22.20%,26.22,-0.02%,"102,521"
213,BRK-A,616.41B,7.62,18.99,-,2.18,1.23,15.76,26.69,123.00%,12.16%,32.30%,-14.50%,5.10%,429340.09,1.00%,"1,621"
214,BRK-B,689.03B,-,19.62,-,2.50,0.00,-,-,9.20%,9.20%,-,23.30%,-,285.80,0.79%,"1,985,385"
215,BRLI,57.59M,-,-,-,-,1.64,1.38,-,-88.60%,-,9.34%,20.00%,-,10.51,0.38%,"1,166"
216,BRN,24.84M,2.34,-,-,1.29,1.58,2.59,8.57,226.70%,-,29.70%,-,3.70%,2.50,-1.57%,"6,970"
217,BRO,16.88B,28.22,23.57,2.13,5.38,3.89,9.86,-,22.70%,11.05%,17.90%,13.22%,11.60%,61.01,0.27%,"273,949"
218,BRPM,275.63M,-,-,-,-,1.75,2756.33,-,-,-,-,-,-,13.02,0.00%,0
219,BRT,419.28M,9.11,-,-,11.52,1.90,14.12,-,246.80%,-134.40%,11.90%,-,-21.20%,23.27,0.34%,"12,929"
220,BRX,6.24B,21.73,19.94,-,5.33,2.32,197.43,-,122.40%,24.57%,-0.20%,-2.22%,-2.00%,21.91,1.76%,"1,059,943"
221,BRY,583.42M,-,2.56,-,1.07,0.96,32.41,5.24,94.10%,-4.96%,58.50%,15.00%,5.80%,7.71,1.85%,"144,972"
222,BSBK,162.54M,26.52,23.64,-,6.48,1.06,2.21,52.43,218.40%,0.00%,-,-,-,11.05,-0.54%,170
223,BSET,208.80M,10.96,9.81,0.69,0.42,1.14,2.34,-,275.30%,-64.95%,4.70%,16.00%,2.40%,22.25,-2.26%,"23,047"
224,BSM,2.93B,21.93,7.03,3.32,8.78,4.33,437.62,33.86,58.60%,86.82%,59.30%,6.60%,6.60%,14.50,0.35%,"94,166"
225,BSVN,195.20M,8.42,6.36,-,3.37,1.58,1.43,6.90,24.00%,13.63%,8.90%,-,11.20%,22.01,-1.68%,"55,009"
226,BTAL,-,-,-,-,-,-,-,-,-,-,-,-,-,20.11,-2.57%,"117,623"
227,BTI,92.25B,12.34,-,1.39,3.04,1.22,23.90,18.21,5.90%,-,3.00%,8.90%,12.70%,41.44,-1.77%,"3,424,534"
